OTUID	Betweenness	Closeness	Degree	ExpectedInfluence	Hub
43a15e510837869d20081c1bb31916cb	179.553506	0.001569859	7	7	Not_Hub
4465a98a221cb1ba72bbcec688604d2f	172.045436	0.00154321	5	5	Not_Hub
481c60d2355776ca4c3eea52ab31544c	93.769602	0.00155521	6	6	Not_Hub
4961973190418ad3e6f6b748d0c9248f	0	0.001117318	1	1	Not_Hub
4a2e382d3282f61d15f6ab86a8566b96	12.506793	0.001385042	3	3	Not_Hub
4aacf442cd587963f183e1fdf8491e3a	513.183072	0.001633987	9	9	Not_Hub
4e070fb746b3ea7f01efefa7a62fc7a2	17.78193	0.001364257	4	4	Not_Hub
4ed4c8fb1c7e735b2c4b82a2f26c000e	62.756864	0.001552795	6	6	Not_Hub
4f8911a874341e9ef899de610f172521	180.603979	0.001426534	4	4	Not_Hub
518f8db49357bf8442c49bea6c908fd8	40.731303	0.001440922	4	4	Not_Hub
523146bb031853e3dba31da305f5ff4a	392.784742	0.001529052	8	8	Not_Hub
52ef822b084fa0671f0ba6cd2b71c9ea	512.275228	0.001814882	9	9	Not_Hub
5302b5c01a133de6e5343b31593dedba	0	0.001213592	1	1	Not_Hub
5427fdd8832445a6287df3879dcfc28a	109.182724	0.001428571	3	3	Not_Hub
5690926744bfabc49e1391eac0525dc2	0	0.001089325	2	2	Not_Hub
572b850be8032f47998311e585f7959f	529.830246	0.0015625	7	7	Not_Hub
5b2404ff953e397345c7740e2cfa5971	332.17164	0.001633987	4	4	Not_Hub
5e66db03a6a9426e1d2ce28d020e6141	27.934105	0.001360544	2	2	Not_Hub
5efc4382fc052be88d0548b52a07f280	19.03252	0.001584786	3	3	Not_Hub
605aff3e8a5b872ab57c4284c671f7f8	0	0.001438849	3	3	Not_Hub
605ff2f1fbedabbc9dc5e041415a54d9	1181.925695	0.001712329	7	7	Hub
616336f719bad3b76634d6eff79eecd9	95.825476	0.001497006	4	4	Not_Hub
622df8e3b9fd0ddcba793cb3a62ec0f9	574.295158	0.00170068	10	10	Not_Hub
62e32d6920ef86138a88c26017a68bf2	397.397661	0.001779359	5	5	Not_Hub
6391061560a05db1e0137c740e5b8e10	198.974455	0.001536098	5	5	Not_Hub
6c13c43889021b0201ef08043fa88c4b	173.701985	0.001631321	5	5	Not_Hub
6c30abfa49c015dd403b554cc350adc4	112.650581	0.001490313	4	4	Not_Hub
6cc72d0b318819097c77f10f0cee2e05	310.475598	0.001620746	8	8	Not_Hub
6e711dbecdc9ad5ce7522e880fbdc687	259.224805	0.001620746	6	6	Not_Hub
6f429de2c83ae52f7700f1f348f1d88c	864.425607	0.001876173	15	15	Hub
70db0545c904905b124cf14a11b3dd38	341.602212	0.001658375	7	7	Not_Hub
72f13020a221a45267a8361ce83c50aa	200.261633	0.001639344	5	5	Not_Hub
73077fe40ca28c83bd641430b80140f3	169.52999	0.001602564	5	5	Not_Hub
7392b6a6e46918b521e7333930fc1ec6	107.779905	0.001569859	3	3	Not_Hub
7396ae5fd4a70a38d60b6b7c2a412983	14.44649	0.001364257	3	3	Not_Hub
76f26f51390f941fb364d0398a173855	335.675506	0.001610306	9	9	Not_Hub
79ac0ad649c36638d09bbf2e0de684da	218.271588	0.001438849	7	7	Not_Hub
7e039f5659a35dcc820cd8a5cf7fb8d5	30.931159	0.001351351	2	2	Not_Hub
824e9dc6629441924696cf6b404a3237	585.865012	0.001801802	8	8	Not_Hub
82bc15ff7f372cfceb45200d7a656dba	475.372773	0.001694915	8	8	Not_Hub
834fd10bed605872f1aef2fbc8cd1e06	568.645459	0.00166113	7	7	Not_Hub
894cea4a91191b2ffb9050974b408e67	159.468688	0.001564945	5	5	Not_Hub
8a0b8ef81aa3217de16b235e063eb45f	271.132998	0.001547988	11	11	Not_Hub
8c6db449516694cae50eadf783a79e34	199.363883	0.00154321	4	4	Not_Hub
