ID	222	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	244	248	249	251	252	253	254	255	256	257	258	259	263	264	265	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293
Paucibacter2	0	0	0	0	0	0.004672897	0	0.000934579	0	0.000934579	0	0	0.000934579	0	0	0.000934579	0	0	0.000934579	0	0	0.005607477	0.008411215	0.006542056	0.005607477	0.007476636	0.011214953	0.002803738	0	0	0	0	0	0.005607477	0.008411215	0.000934579	0.001869159	0.001869159	0.001869159	0.001869159	0.004672897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011214953	0	0	0
Flavisolibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003738318	0.002803738	0.003738318	0.005607477	0.002803738	0.002803738	0.004672897	0.009345794	0.002803738	0	0	0	0	0	0.007476636	0	0	0.002803738	0	0.003738318	0	0.002803738	0.003738318	0	0	0.007476636	0.000934579
Caulobacter	0	0	0.002803738	0	0.000934579	0.001869159	0	0	0	0.000934579	0	0.001869159	0	0	0	0.002803738	0	0.002803738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004672897	0.006542056	0.000934579	0.005607477	0.001869159	0.008411215	0.002803738	0.010280374	0.004672897	0	0.014953271	0.012149533	0	0	0	0	0	0	0	0	0.000934579	0	0	0.002803738	0	0	0
Uncultured Gemmatimonadaceae2	0.002803738	0.001869159	0.001869159	0	0.000934579	0.000934579	0.000934579	0.000934579	0.000934579	0.000934579	0.001869159	0.000934579	0	0.004672897	0	0	0	0.008411215	0.003738318	0	0	0	0.001869159	0.003738318	0.001869159	0.001869159	0.002803738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Udaeobacter	0	0	0	0	0	0	0	0	0.000934579	0	0	0	0	0	0	0	0	0	0	0	0.000934579	0	0	0	0.000934579	0.001869159	0.001869159	0	0	0	0	0	0	0	0	0	0	0	0.000934579	0	0	0	0.000934579	0	0	0.000934579	0	0.000934579	0.000934579	0	0.001869159	0.005607477	0	0.003738318	0.001869159	0	0.003738318	0.001869159	0.004672897	0.005607477
Anaeromyxobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000934579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002803738	0.000934579	0.000934579	0	0.002803738	0.001869159	0	0.003738318	0.004672897	0	0.003738318	0.001869159	0.001869159	0	0.000934579	0.001869159	0.003738318	0	0.012149533	0.019626168	0.005607477	0.005607477	0.010280374	0.009345794	0.002803738	0.003738318	0.012149533
Flavitalea	0.004672897	0	0.001869159	0	0.003738318	0.002803738	0.004672897	0.000934579	0.001869159	0.000934579	0.004672897	0.003738318	0.001869159	0.003738318	0	0.001869159	0	0	0	0	0	0.004672897	0.000934579	0.001869159	0.000934579	0	0.000934579	0.000934579	0	0	0	0.008411215	0	0.001869159	0.010280374	0.000934579	0.006542056	0.001869159	0.002803738	0.006542056	0.005607477	0.004672897	0	0	0	0	0	0	0	0	0	0.000934579	0	0	0	0	0	0	0	0
Uncultured Sordariomycetes	0.005607477	0.003738318	0.003738318	0	0.005607477	0.003738318	0.000934579	0.001869159	0.002803738	0.005607477	0.007476636	0.005607477	0	0	0	0	0	0	0.001869159	0	0.010280374	0	0	0	0	0	0	0.006542056	0	0	0.01682243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002803738	0	0	0	0
Paraburkholderia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000934579	0	0.001869159	0.228971963	0.364485981	0.378504673	0.248598131	0.085981308	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000934579	0.010280374	0.001869159	0	0.010280374	0.000934579	0	0.002803738	0.004672897	0.001869159	0.005607477	0.007476636	0.003738318	0	0
Ralstonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002803738	0.008411215	0.000934579	0.006542056	0.008411215	0.000934579	0.004672897	0.008411215	0.006542056	0.04953271	0.064485981	0.000934579	0.045794393	0.017757009	0.018691589	0.019626168	0.007476636	0.017757009	0	0.003738318	0.000934579	0.002803738	0.005607477	0	0.002803738	0	0
Uncultured Chaetomiaceae	0.001869159	0	0.004672897	0	0	0	0	0	0	0	0	0.002803738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000934579	0.002803738	0.000934579	0.002803738	0.000934579	0.000934579	0	0.002803738	0.002803738	0.007476636	0.003738318	0.006542056	0	0.004672897	0.001869159	0.005607477	0.002803738	0
Pythium	0.024299065	0.03271028	0.013084112	0	0.008411215	0.021495327	0.005607477	0.005607477	0.014953271	0	0.012149533	0.005607477	0.001869159	0	0	0	0	0	0.007476636	0	0	0	0.008411215	0.002803738	0.006542056	0.014953271	0.011214953	0.01682243	0	0.014953271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavisolibacter2	0	0.001869159	0.002803738	0	0.006542056	0.002803738	0.006542056	0.000934579	0.005607477	0.005607477	0.006542056	0.004672897	0.006542056	0.006542056	0.004672897	0	0.007476636	0	0.004672897	0	0	0.014953271	0	0.001869159	0.001869159	0.000934579	0.001869159	0	0	0	0	0	0.006542056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pythium2	0	0	0	0	0	0	0	0.000934579	0	0	0.000934579	0	0	0.001869159	0.001869159	0	0.005607477	0	0	0.002803738	0.013084112	0	0	0	0	0	0	0	0	0	0	0.007476636	0	0	0	0	0	0	0	0	0	0	0.007476636	0.027102804	0.011214953	0.017757009	0.014018692	0.002803738	0.012149533	0.005607477	0.007476636	0.004672897	0.002803738	0	0.002803738	0.006542056	0	0.005607477	0.001869159	0.004672897
Bacillus	0.037383178	0.001869159	0.006542056	0	0.010280374	0.004672897	0	0	0.002803738	0.002803738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006542056	0.003738318	0.006542056	0.002803738	0.002803738	0.000934579	0.001869159	0.009345794	0.004672897	0.007476636	0.005607477	0.004672897	0.004672897	0	0.005607477	0.003738318	0.023364486	0.006542056
Uncultured Limnofilidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001869159	0	0	0	0	0	0.004672897	0	0	0	0	0	0	0	0	0	0	0.000934579	0	0.002803738	0.003738318	0.003738318	0.002803738	0.001869159	0	0.003738318	0.003738318	0	0.007476636	0.001869159	0.001869159	0.004672897	0.004672897	0.001869159
Flavisolibacter3	0	0	0	0.014953271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004672897	0.002803738	0	0.000934579	0	0.001869159	0.004672897	0.002803738	0.000934579	0.007476636	0.008411215	0.011214953	0.010280374	0.011214953	0.008411215	0.010280374	0.006542056	0.010280374	0.014018692	0.002803738	0.009345794	0.011214953	0	0.012149533	0.004672897	0.009345794	0.002803738
Uncultured Davidiellaceae	0	0.000934579	0.000934579	0.088785047	0	0	0	0	0	0	0	0.007476636	0	0.040186916	0.044859813	0	0.104672897	0.11588785	0.005607477	0.05046729	0.030841121	0	0.001869159	0.000934579	0	0	0.000934579	0	0	0.042056075	0.081308411	0.097196262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000934579	0	0	0	0.003738318	0	0	0	0
Uncultured Pterocystidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001869159	0.005607477	0.000934579	0.006542056	0.000934579	0.003738318	0.006542056	0.003738318	0.006542056	0.002803738	0.001869159	0.002803738	0.002803738	0	0.001869159	0.004672897	0.002803738	0.001869159
Ripidomyxa	0.001869159	0	0.007476636	0	0.004672897	0.008411215	0	0	0	0	0	0.000934579	0.000934579	0	0.003738318	0	0	0.002803738	0	0	0	0.001869159	0.001869159	0	0.002803738	0.002803738	0.004672897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000934579	0	0	0	0.002803738	0.003738318	0	0	0	0	0	0.000934579	0	0	0.002803738	0
Massilia	0	0	0.001869159	0	0	0	0.000934579	0.000934579	0	0.000934579	0	0	0	0	0.000934579	0	0	0	0	0	0	0	0	0	0	0	0	0.001869159	0	0	0	0	0.008411215	0	0	0	0	0	0.003738318	0.001869159	0	0.001869159	0.002803738	0.020560748	0.025233645	0	0	0	0.007476636	0.01588785	0.011214953	0.004672897	0.007476636	0.006542056	0.003738318	0.014018692	0	0.009345794	0.001869159	0.009345794
Spongomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008411215	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001869159	0	0	0	0	0.001869159	0.001869159	0	0.000934579	0.002803738	0.000934579	0.000934579	0.006542056	0.008411215	0.003738318	0.002803738	0.009345794	0.002803738	0	0.000934579	0	0.003738318	0.001869159	0.002803738	0	0
Uncultured Dothideomycetes	0.005607477	0.006542056	0	0.034579439	0	0	0.004672897	0.001869159	0.008411215	0.002803738	0.002803738	0.003738318	0.009345794	0.009345794	0.014018692	0	0	0	0.004672897	0	0	0	0.004672897	0.005607477	0	0.003738318	0.002803738	0	0	0	0.03364486	0	0	0.009345794	0.028971963	0.013084112	0.01682243	0.027102804	0.012149533	0.008411215	0.003738318	0.027102804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004672897	0
Uncultured Thermoleophilia	0.000934579	0.004672897	0.004672897	0	0	0.004672897	0.000934579	0	0	0.001869159	0.001869159	0.000934579	0	0	0	0	0	0	0.000934579	0	0	0.007476636	0.013084112	0.006542056	0.007476636	0.009345794	0.008411215	0.003738318	0	0.000934579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Piscinibacter	0	0	0	0	0.000934579	0.001869159	0	0	0	0	0	0.004672897	0	0	0	0.001869159	0	0	0	0	0	0	0.007476636	0.001869159	0	0.004672897	0.008411215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007476636	0.004672897	0.005607477	0.010280374	0.003738318	0.003738318	0.012149533	0.002803738	0.011214953
Allapsidae2 (Group-Te)	0	0	0.003738318	0	0.008411215	0.005607477	0	0	0	0	0	0.001869159	0	0	0	0.001869159	0	0	0.014018692	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053271028	0.051401869	0.054205607	0.036448598	0.060747664	0.057943925	0.126168224	0.158878505	0.16728972	0.142056075	0	0	0	0	0	0	0	0	0	0.006542056	0.005607477	0.011214953	0.024299065	0.009345794	0.010280374	0.013084112	0.007476636	0.005607477
Lacunisphaera	0.000934579	0.003738318	0.004672897	0	0.004672897	0.001869159	0.002803738	0.005607477	0	0.005607477	0.006542056	0.000934579	0.002803738	0.001869159	0.002803738	0	0	0.005607477	0.006542056	0	0	0	0.002803738	0	0.002803738	0	0.004672897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002803738	0
